t;e;i;d;set
0.0;0.0;0.0;0.0;0
0.0;0.0;0.0;0.0;0
0.0;300.0;-0.3;0.0;0
0.003;301.0;-0.5;0.0;0
0.006;300.0;-0.5;0.0;0
0.009000000000000001;301.0;-0.5;0.0;0
0.012;300.0;-0.5;0.0;0
0.015000000000000001;300.0;-0.5;0.0;0
0.018000000000000002;299.0;-0.5;0.0;0
0.021;299.0;-0.5;0.0;0
0.024;298.0;-0.5;0.0;0
0.027;297.0;-0.5;0.0;0
0.030000000000000002;296.0;-0.5;0.0;0
0.033;295.0;-0.5;-1.0;0
0.036000000000000004;293.0;-0.5;-1.0;0
0.039;292.0;-0.5;-1.0;0
0.042;290.0;-0.5;-1.0;0
0.045000000000000005;288.0;-0.5;-1.0;0
0.048;286.0;-0.5;-1.0;0
0.051000000000000004;284.0;-0.5;-1.0;0
0.054;281.0;-0.5;-1.0;0
0.057;279.0;-0.5;-1.0;0
0.060000000000000005;276.0;-0.5;-1.0;0
0.063;273.0;-0.5;-1.0;0
0.066;270.0;-0.5;-3.0;0
0.069;267.0;-0.5;-3.0;0
0.07200000000000001;263.0;-0.5;-3.0;0
0.075;260.0;-0.5;-3.0;0
0.078;256.0;-0.5;-3.0;0
0.081;252.0;-0.5;-3.0;0
0.084;248.0;-0.5;-3.0;0
0.08700000000000001;244.0;-0.5;-3.0;0
0.09000000000000001;239.0;-0.5;-3.0;0
0.093;234.0;-0.5;-3.0;0
0.096;229.0;-0.5;-3.0;0
0.099;224.0;-0.5;-5.0;0
0.10200000000000001;219.0;-0.5;-5.0;0
0.10500000000000001;213.0;-0.5;-5.0;0
0.108;207.0;-0.5;-5.0;0
0.111;202.0;-0.5;-5.0;0
0.114;195.0;-0.5;-5.0;0
0.117;189.0;-0.5;-5.0;0
0.12000000000000001;182.0;-0.5;-5.0;0
0.12300000000000001;176.0;-0.5;-5.0;0
0.126;169.0;-0.5;-5.0;0
0.129;161.0;-0.5;-5.0;0
0.132;154.0;-0.5;-7.0;0
0.135;147.0;-0.5;-7.0;0
0.138;139.0;-0.5;-7.0;0
0.14100000000000001;131.0;-0.5;-7.0;0
0.14400000000000002;123.0;-0.5;-7.0;0
0.14700000000000002;115.0;-0.5;-7.0;0
0.15;106.0;-0.5;-7.0;0
0.153;98.0;-0.5;-7.0;0
0.156;89.0;-0.5;-7.0;0
0.159;80.0;-0.5;-7.0;0
0.162;71.0;-0.5;-7.0;0
0.165;62.0;-0.5;-9.0;0
0.168;53.0;-0.5;-9.0;0
0.171;44.0;-0.5;-9.0;0
0.17400000000000002;35.0;-0.5;-9.0;0
0.17700000000000002;25.0;-0.5;-9.0;0
0.18000000000000002;16.0;-0.5;-9.0;0
0.183;7.0;-0.5;-9.0;0
0.186;-2.0;0.5;-9.0;0
0.189;-10.0;0.5;-9.0;0
0.192;-19.0;0.5;-9.0;0
0.195;-27.0;0.5;-9.0;0
0.198;-35.0;0.5;-8.0;0
0.201;-43.0;0.5;-8.0;0
0.20400000000000001;-51.0;0.5;-8.0;0
0.20700000000000002;-59.0;0.5;-8.0;0
0.21000000000000002;-67.0;0.5;-8.0;0
0.21300000000000002;-75.0;0.5;-8.0;0
0.216;-82.0;0.5;-8.0;0
0.219;-90.0;0.5;-8.0;0
0.222;-97.0;0.5;-8.0;0
0.225;-104.0;0.5;-8.0;0
0.228;-111.0;0.5;-8.0;0
0.231;-118.0;0.5;-7.0;0
0.234;-125.0;0.5;-7.0;0
0.23700000000000002;-131.0;0.5;-7.0;0
0.24000000000000002;-137.0;0.5;-7.0;0
0.24300000000000002;-143.0;0.5;-7.0;0
0.24600000000000002;-149.0;0.5;-7.0;0
0.249;-155.0;0.5;-7.0;0
0.252;-160.0;0.5;-7.0;0
0.255;-166.0;0.5;-7.0;0
0.258;-171.0;0.5;-7.0;0
0.261;-175.0;0.5;-7.0;0
0.264;-180.0;0.5;-5.0;0
0.267;-184.0;0.5;-5.0;0
0.27;-189.0;0.5;-5.0;0
0.273;-192.0;0.5;-5.0;0
0.276;-196.0;0.5;-5.0;0
0.279;-200.0;0.5;-5.0;0
0.28200000000000003;-203.0;0.5;-5.0;0
0.28500000000000003;-206.0;0.5;-5.0;0
0.28800000000000003;-209.0;0.5;-5.0;0
0.29100000000000004;-211.0;0.5;-5.0;0
0.29400000000000004;-214.0;0.5;-5.0;0
0.29700000000000004;-216.0;0.5;-2.0;0
0.3;-218.0;0.5;-2.0;0
0.303;-220.0;0.5;-2.0;0
0.306;-221.0;0.5;-2.0;0
0.309;-223.0;0.5;-2.0;0
0.312;-224.0;0.5;-2.0;0
0.315;-225.0;0.5;-2.0;0
0.318;-225.0;0.5;-2.0;0
0.321;-226.0;0.5;-2.0;0
0.324;-226.0;0.5;-2.0;0
0.327;-226.0;0.5;-2.0;0
0.33;-226.0;0.5;0.0;0
0.333;-226.0;0.5;0.0;0
0.336;-225.0;0.5;0.0;0
0.339;-224.0;0.5;0.0;0
0.342;-223.0;0.5;0.0;0
0.34500000000000003;-222.0;0.5;0.0;0
0.34800000000000003;-221.0;0.5;0.0;0
0.35100000000000003;-219.0;0.5;0.0;0
0.35400000000000004;-217.0;0.5;0.0;0
0.35700000000000004;-215.0;0.5;0.0;0
0.36000000000000004;-213.0;0.5;0.0;0
0.36300000000000004;-211.0;0.5;2.0;0
0.366;-208.0;0.5;2.0;0
0.369;-205.0;0.5;2.0;0
0.372;-202.0;0.5;2.0;0
0.375;-199.0;0.5;2.0;0
0.378;-195.0;0.5;2.0;0
0.381;-192.0;0.5;2.0;0
0.384;-188.0;0.5;2.0;0
0.387;-184.0;0.5;2.0;0
0.39;-179.0;0.5;2.0;0
0.393;-175.0;0.5;2.0;0
0.396;-170.0;0.5;5.0;0
0.399;-165.0;0.5;5.0;0
0.402;-160.0;0.5;5.0;0
0.405;-155.0;0.5;5.0;0
0.40800000000000003;-149.0;0.5;5.0;0
0.41100000000000003;-143.0;0.5;5.0;0
0.41400000000000003;-138.0;0.5;5.0;0
0.41700000000000004;-132.0;0.5;5.0;0
0.42000000000000004;-126.0;0.5;5.0;0
0.42300000000000004;-119.0;0.5;5.0;0
0.42600000000000005;-113.0;0.5;5.0;0
0.42900000000000005;-106.0;0.5;7.0;0
0.432;-99.0;0.5;7.0;0
0.435;-92.0;0.5;7.0;0
0.438;-85.0;0.5;7.0;0
0.441;-77.0;0.5;7.0;0
0.444;-70.0;0.5;7.0;0
0.447;-63.0;0.5;7.0;0
0.45;-55.0;0.5;7.0;0
0.453;-48.0;0.5;7.0;0
0.456;-40.0;0.5;7.0;0
0.459;-32.0;0.5;7.0;0
0.462;-25.0;0.5;7.0;0
0.465;-17.0;0.5;7.0;0
0.468;-9.0;0.5;7.0;0
0.47100000000000003;-1.0;0.5;7.0;0
0.47400000000000003;7.0;-0.5;7.0;0
0.47700000000000004;13.0;-0.5;7.0;0
0.48000000000000004;20.0;-0.5;7.0;0
0.48300000000000004;26.0;-0.5;7.0;0
0.48600000000000004;34.0;-0.5;7.0;0
0.48900000000000005;40.0;-0.5;7.0;0
0.49200000000000005;47.0;-0.5;7.0;0
0.49500000000000005;53.0;-0.5;6.0;0
0.498;60.0;-0.5;6.0;0
0.501;65.0;-0.5;6.0;0
0.504;72.0;-0.5;6.0;0
0.507;78.0;-0.5;6.0;0
0.51;84.0;-0.5;6.0;0
0.513;89.0;-0.5;6.0;0
0.516;95.0;-0.5;6.0;0
0.519;100.0;-0.5;6.0;0
0.522;106.0;-0.5;6.0;0
0.525;111.0;-0.5;6.0;0
0.528;116.0;-0.5;5.0;0
0.531;121.0;-0.5;5.0;0
0.534;125.0;-0.5;5.0;0
0.537;130.0;-0.5;5.0;0
0.54;134.0;-0.5;5.0;0
0.543;138.0;-0.5;5.0;0
0.546;142.0;-0.5;5.0;0
0.549;146.0;-0.5;5.0;0
0.552;149.0;-0.5;5.0;0
0.555;152.0;-0.5;5.0;0
0.558;155.0;-0.5;5.0;0
0.561;158.0;-0.5;3.0;0
0.5640000000000001;161.0;-0.5;3.0;0
0.5670000000000001;163.0;-0.5;3.0;0
0.5700000000000001;166.0;-0.5;3.0;0
0.5730000000000001;168.0;-0.5;3.0;0
0.5760000000000001;169.0;-0.5;3.0;0
0.5790000000000001;171.0;-0.5;3.0;0
0.5820000000000001;172.0;-0.5;3.0;0
0.5850000000000001;174.0;-0.5;3.0;0
0.5880000000000001;175.0;-0.5;3.0;0
0.5910000000000001;175.0;-0.5;3.0;0
0.5940000000000001;176.0;-0.5;1.0;0
0.597;176.0;-0.5;1.0;0
0.6;176.0;-0.5;1.0;0
0.603;176.0;-0.5;1.0;0
0.606;176.0;-0.5;1.0;0
0.609;175.0;-0.5;1.0;0
0.612;175.0;-0.5;1.0;0
0.615;174.0;-0.5;1.0;0
0.618;173.0;-0.5;1.0;0
0.621;171.0;-0.5;1.0;0
0.624;170.0;-0.5;1.0;0
0.627;168.0;-0.5;-2.0;0
0.63;166.0;-0.5;-2.0;0
0.633;164.0;-0.5;-2.0;0
0.636;162.0;-0.5;-2.0;0
0.639;159.0;-0.5;-2.0;0
0.642;157.0;-0.5;-2.0;0
0.645;153.0;-0.5;-2.0;0
0.648;150.0;-0.5;-2.0;0
0.651;147.0;-0.5;-2.0;0
0.654;144.0;-0.5;-2.0;0
0.657;140.0;-0.5;-2.0;0
0.66;136.0;-0.5;-4.0;0
0.663;132.0;-0.5;-4.0;0
0.666;128.0;-0.5;-4.0;0
0.669;123.0;-0.5;-4.0;0
0.672;119.0;-0.5;-4.0;0
0.675;114.0;-0.5;-4.0;0
0.678;109.0;-0.5;-4.0;0
0.681;104.0;-0.5;-4.0;0
0.684;99.0;-0.5;-4.0;0
0.687;93.0;-0.5;-4.0;0
0.6900000000000001;88.0;-0.5;-4.0;0
0.6930000000000001;82.0;-0.5;-6.0;0
0.6960000000000001;77.0;-0.5;-6.0;0
0.6990000000000001;71.0;-0.5;-6.0;0
0.7020000000000001;65.0;-0.5;-6.0;0
0.7050000000000001;59.0;-0.5;-6.0;0
0.7080000000000001;53.0;-0.5;-6.0;0
0.7110000000000001;47.0;-0.5;-6.0;0
0.7140000000000001;41.0;-0.5;-6.0;0
0.7170000000000001;34.0;-0.5;-6.0;0
0.7200000000000001;28.0;-0.5;-6.0;0
0.7230000000000001;21.0;-0.5;-6.0;0
0.7260000000000001;15.0;-0.5;-6.0;0
0.729;8.0;-0.5;-6.0;0
0.732;2.0;-0.5;-6.0;0
0.735;-4.0;0.5;-6.0;0
0.738;-10.0;0.5;-6.0;0
0.741;-15.0;0.5;-6.0;0
0.744;-21.0;0.5;-6.0;0
0.747;-26.0;0.5;-6.0;0
0.75;-32.0;0.5;-6.0;0
0.753;-37.0;0.5;-6.0;0
0.756;-42.0;0.5;-6.0;0
0.759;-47.0;0.5;-5.0;0
0.762;-52.0;0.5;-5.0;0
0.765;-57.0;0.5;-5.0;0
0.768;-62.0;0.5;-5.0;0
0.771;-66.0;0.5;-5.0;0
0.774;-71.0;0.5;-5.0;0
0.777;-75.0;0.5;-5.0;0
0.78;-80.0;0.5;-5.0;0
0.783;-84.0;0.5;-5.0;0
0.786;-88.0;0.5;-5.0;0
0.789;-92.0;0.5;-5.0;0
0.792;-96.0;0.5;-4.0;0
0.795;-100.0;0.5;-4.0;0
0.798;-103.0;0.5;-4.0;0
0.801;-106.0;0.5;-4.0;0
0.804;-110.0;0.5;-4.0;0
