t;e;d;i;set

0.599;0;5000;0;0
0.604;0;5000;0;0
0.609;0;5000;0;0
0.614;0;5000;0;0
0.619;0;5000;0;0
0.624;0;5000;0;0
0.629;0;5000;0;0
0.634;0;5000;0;0
0.639;0;5000;0;0
0.644;0;5000;0;0
0.649;0;5000;0;0
0.654;0;5000;0;0
0.659;0;5000;0;0
0.664;0;5000;0;0
0.669;0;5000;0;0
0.674;0;5000;0;0
0.679;0;5000;0;0
0.684;0;5000;0;0
0.689;0;5000;0;0
0.694;0;5000;0;0
0.699;0;5000;0;0
0.704;0;5000;0;0
0.709;0;5000;0;0
0.714;0;5000;0;0
0.719;0;5000;0;0
0.724;0;5000;0;0
0.729;0;5000;0;0
0.734;0;5000;0;0
0.739;0;5000;0;0
0.744;0;5000;0;0
0.749;0;5000;0;0
0.754;0;5000;0;0
0.759;0;5000;0;0
0.764;0;5000;0;0
0.769;0;5000;0;0
0.774;0;5000;0;0
0.779;0;5000;0;0
0.784;0;5000;0;0
0.789;0;5000;0;0
0.794;0;5000;0;0
0.799;0;5000;0;0
0.804;0;5000;0;0
0.809;0;5000;0;0
0.814;0;5000;0;0
0.819;0;5000;0;0
0.824;0;5000;0;0
0.829;0;5000;0;0
0.834;0;5000;0;0
0.839;0;5000;0;0
0.844;0;5000;0;0
0.849;0;5000;0;0
0.854;0;5000;0;0
0.859;0;5000;0;0
0.864;0;5000;0;0
0.869;0;5000;0;0
0.874;0;5000;0;0
0.879;0;5000;0;0
0.884;0;5000;0;0
0.889;0;5000;0;0
0.894;0;5000;0;0
0.899;0;5000;0;0
0.904;0;5000;0;0
0.909;0;5000;0;0
0.914;0;5000;0;0
0.919;0;5000;0;0
0.924;0;5000;0;0
0.929;0;5000;0;0
0.934;0;5000;0;0
0.939;0;5000;0;0
0.944;0;5000;0;0
0.949;0;5000;0;0
0.954;0;5000;0;0
0.959;0;5000;0;0
0.964;0;5000;0;0
0.969;0;5000;0;0
0.974;0;5000;0;0
0.979;0;5000;0;0
0.984;0;5000;0;0
0.989;0;5000;0;0
0.994;0;5000;0;0
0.999;0;5000;0;0
1.004;0;5000;0;0
1.009;0;5000;0;0
1.014;0;5000;0;0
1.019;0;5000;0;0
1.024;0;5000;0;0
1.029;0;5000;0;0
1.034;0;5000;0;0
1.039;0;5000;0;0
1.044;0;5000;0;0
1.049;0;5000;0;0
1.054;0;5000;0;0
1.059;0;5000;0;0
1.064;0;5000;0;0
1.069;0;5000;0;0
1.074;0;5000;0;0
1.079;0;5000;0;0
1.084;0;5000;0;0
1.089;0;5000;0;0
1.094;0;5000;0;0
1.099;0;5000;0;0
1.104;0;5000;0;0
1.109;0;5000;0;0
1.114;0;5000;0;0
1.119;0;5000;0;0
1.124;0;5000;0;0
1.129;0;5000;0;0
1.134;0;5000;0;0
1.139;0;5000;0;0
1.144;0;5000;0;0
1.149;0;5000;0;0
1.154;0;5000;0;0
1.159;0;5000;0;0
1.164;0;5000;0;0
1.169;0;5000;0;0
1.174;0;5000;0;0
1.179;0;5000;0;0
1.184;0;5000;0;0
1.189;0;5000;0;0
1.194;0;5000;0;0
1.199;0;5000;0;0
1.204;0;5000;0;0
1.209;0;5000;0;0
1.214;0;5000;0;0
1.219;0;5000;0;0
1.224;0;5000;0;0
1.229;0;5000;0;0
1.234;0;5000;0;0
1.239;0;5000;0;0
1.244;0;5000;0;0
1.249;0;5000;0;0
1.254;0;5000;0;0
1.259;0;5000;0;0
1.264;0;5000;0;0
1.269;0;5000;0;0
1.274;0;5000;0;0
